ID,Age,Ethnicity,Education,Income,Gender,Gender_4_TEXT,Party,Sup_MP1_1,Jus_MP1_1,Like_MP1_1,Sup_MP2_1,Jus_MP2_1,Like_MP2_1,Sup_MP3_1,Jus_MP3_1,Like_MP3_1,Sup_MP4_1,Jus_MP4_1,Like_MP4_1,Sup_MP5_1,Jus_MP5_1,Like_MP5_1,Sup_OG1_1,Jus_OG1_1,Like_OG1_1,Sup_OG2_1,Jus_OG2_1,Like_OG2_1,Sup_OG3_1,Jus_OG3_1,Like_OG3_1,Sup_OG4_1,Jus_OG4_1,Like_OG4_1,Sup_OG5_1,Jus_OG5_1,Like_OG5_1,Sup_IP1_1,Jus_IP1_1,Like_IP1_1,Sup_IP2_1,Jus_IP2_1,Like_IP2_1,Sup_IP3_1,Jus_IP3_1,Like_IP3_1,Sup_IP4_1,Jus_IP4_1,Like_IP4_1,Sup_IP5_1,Jus_IP5_1,Like_IP5_1,Comp,Comment,Condition,Comprehend
R_p5GspajDxPW7GRr,35-54,Hispanic,Some College (No Degree),$0 - $50K,Female,,Democrat,1,1,1,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Democratic Party,no comment,Meta-P Condition,Pass
R_1hMVCcf0oLw12Ek,35-54,Non-Hispanic White,Graduate Degree,$0 - $50K,Female,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,72,62,20,11,21,60,73,71,73,70,66,40,81,31,Republican Party,Fast and easy,Ingroup-P Condition,Pass
R_3q3QOEKe6NO2Ph7,18-34,Hispanic,Some College (No Degree),$0 - $50K,Male,,Republican,,,,,,,,,,,,,,,,88,71,97,76,100,82,94,87,95,100,100,79,96,74,87,,,,,,,,,,,,,,,,Democratic Party,Thanks,Actual-P Condition,Pass
R_WeNVLhRWStvWl0d,18-34,Non-Hispanic Black,Some College (No Degree),$0 - $50K,Male,,Democrat,73,61,84,87,78,90,88,19,93,79,67,64,79,25,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Democratic Party,No,Meta-P Condition,Pass
R_UMdanxbZZhLeeJz,55+,Non-Hispanic Black,Some College (No Degree),$0 - $50K,Female,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,92,93,51,19,19,82,62,99,31,20,31,20,10,20,Republican Party,Thank you.,Ingroup-P Condition,Pass
R_1PbMYqYbUIfZ1Jb,18-34,Asian,Graduate Degree,$0 - $50K,Female,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,70,39,70,50,68,36,65,34,42,88,61,72,63,75,Republican Party,None,Ingroup-P Condition,Pass
R_1qdM0JFr8oSice8,18-34,Hispanic,College Degree,$0 - $50K,Female,,Democrat,,,,,,,,,,,,,,,,100,100,100,1,15,1,1,1,1,1,1,1,1,51,1,,,,,,,,,,,,,,,,Republican Party,,Actual-P Condition,Pass
R_4NJxeaLA28J7loB,35-54,Hispanic,HS Diploma/GED or Less,$0 - $50K,Male,,Republican,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Republican Party,This is a very good survey.  This is a very good survey.,Meta-P Condition,Pass
R_pF7JZmbvVZoNsMV,55+,Hispanic,College Degree,$50K - $100K,Female,,Democrat,,,,,,,,,,,,,,,,55,50,59,32,32,32,59,50,50,50,50,42,41,38,60,,,,,,,,,,,,,,,,Republican Party,no,Actual-P Condition,Pass
R_27EyAaOOq8njdSH,18-34,Hispanic,HS Diploma/GED or Less,$50K - $100K,Male,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,23,40,2,38,22,1,36,15,1,33,17,1,26,37,Republican Party,,Ingroup-P Condition,Pass
R_2dLOhIKaPXwydGb,35-54,Hispanic,College Degree,$100K - $200K,Male,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,99,99,78,70,78,71,91,87,94,89,93,79,88,86,Democratic Party,thanks for the time,Ingroup-P Condition,Pass
R_Oln6tc9W32LBCmJ,18-34,Asian,College Degree,$50K - $100K,Female,,Democrat,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,1,1,1,1,1,1,,,,,,,,,,,,,,,,Republican Party,,Actual-P Condition,Pass
R_3iD7qhD1hwciSYV,55+,Hispanic,Some College (No Degree),$50K - $100K,Female,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,15,22,1,15,16,1,20,19,1,19,21,1,24,22,Republican Party,good topic,Ingroup-P Condition,Pass
R_3nv0dGphEOSEXvT,18-34,Hispanic,College Degree,$0 - $50K,Female,,Democrat,100,100,100,100,89,100,100,100,100,100,96,84,96,100,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Democratic Party,,Meta-P Condition,Pass
R_23fu6DYW4KUU1Na,55+,Hispanic,College Degree,$100K - $200K,Female,,Democrat,92,78,97,84,39,73,60,63,10,82,61,85,100,85,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Democratic Party,,Meta-P Condition,Pass
R_1nOPmSOqI0ZddER,35-54,Hispanic,College Degree,$50K - $100K,Male,,Democrat,100,88,100,82,70,79,80,91,75,79,80,88,81,80,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Democratic Party,Thank you,Meta-P Condition,Pass
R_1dgVfCQQgTKaGlQ,18-34,Hispanic,Some College (No Degree),$100K - $200K,Female,,Democrat,,,,,,,,,,,,,,,,71,83,85,58,19,38,1,1,1,1,37,15,27,32,25,,,,,,,,,,,,,,,,Republican Party,No comment.,Actual-P Condition,Pass
R_3PpdFT95kFBK8wv,55+,Hispanic,Some College (No Degree),$50K - $100K,Female,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,1,1,1,100,100,100,38,1,42,1,1,1,Democratic Party,"I think the questions were a little skewed only because the way they were asked implied tat only the Democratic party is taking action on matters.  I strongly believe that neither party is acting in the best interests of ALL the people.  They are so entrenched in their own biases that they are doing a huge disservice to the American people.  Currently, the Democratic party (of which I was a member for 45 years) has drifted so far to the left that I find it hard to support anything they do now.",Ingroup-P Condition,Pass
R_br0R5A4M7ua17rz,18-34,Non-Hispanic Black,College Degree,$50K - $100K,Male,,Democrat,61,90,41,77,17,23,76,20,69,38,69,60,32,68,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Democratic Party,,Meta-P Condition,Pass
R_yJceU83B4yiC9JD,35-54,Hispanic,Some College (No Degree),$50K - $100K,Male,,Republican,,,,,,,,,,,,,,,,97,94,83,70,72,82,90,90,76,73,66,80,35,41,26,,,,,,,,,,,,,,,,Democratic Party,,Actual-P Condition,Pass
R_3nPFtEzVwQB2dPT,18-34,Hispanic,College Degree,$100K - $200K,Female,,Democrat,79,13,43,73,81,38,83,92,61,1,82,6,79,98,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Democratic Party,good survey,Meta-P Condition,Pass
R_1QmjPxqrf8ot4fw,18-34,Hispanic,Some College (No Degree),$50K - $100K,Female,,Democrat,,,,,,,,,,,,,,,,76,76,66,29,14,84,60,27,29,74,83,53,84,100,82,,,,,,,,,,,,,,,,Republican Party,Nope,Actual-P Condition,Pass
R_1pAV1cdk2a0N0yO,35-54,Non-Hispanic Black,College Degree,$50K - $100K,Female,,Republican,93,92,94,94,90,92,96,95,94,90,90,94,87,90,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Republican Party,thanks,Meta-P Condition,Pass
R_3jYAkXJfhLko4xI,35-54,Non-Hispanic Black,College Degree,$50K - $100K,Female,,Democrat,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Democratic Party,,Meta-P Condition,Pass
R_2v31vXmll3D9Pj7,55+,Hispanic,Some College (No Degree),$0 - $50K,Male,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,100,100,1,1,1,100,100,100,1,1,1,1,100,4,Democratic Party,None,Ingroup-P Condition,Pass
R_9tSYTs85p9h9XRT,55+,Non-Hispanic Black,College Degree,$50K - $100K,Female,,Democrat,100,100,100,100,100,100,1,1,1,100,100,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Democratic Party,,Meta-P Condition,Pass
R_3ozT5gYZtjlidnf,18-34,Hispanic,Graduate Degree,$0 - $50K,Female,,Democrat,,,,,,,,,,,,,,,,100,100,100,77,7,66,100,60,100,19,2,85,50,50,87,,,,,,,,,,,,,,,,Republican Party,,Actual-P Condition,Pass
R_12nd1fSxiQB0apw,18-34,Asian,Graduate Degree,$50K - $100K,Male,,Republican,100,100,100,95,86,86,100,100,100,89,48,80,89,76,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Republican Party,very likely,Meta-P Condition,Pass
R_sb7RC0pkuB0I2bL,35-54,Asian,HS Diploma/GED or Less,$0 - $50K,Male,,Democrat,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Democratic Party,,Meta-P Condition,Pass
R_qJ9YW285seT2Rmp,35-54,Hispanic,Graduate Degree,$100K - $200K,Female,,Democrat,80,72,94,62,68,83,75,44,76,82,71,64,88,84,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Democratic Party,,Meta-P Condition,Pass
R_3JawrFEjOIssZ7N,18-34,Hispanic,HS Diploma/GED or Less,$0 - $50K,Male,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,56,58,56,54,54,74,71,74,63,68,68,69,67,67,Republican Party,Not really,Ingroup-P Condition,Pass
R_Rt59f1f8ovurEeR,18-34,Hispanic,Graduate Degree,$50K - $100K,Female,,Democrat,,,,,,,,,,,,,,,,78,73,79,22,27,17,41,45,33,14,3,4,66,75,70,,,,,,,,,,,,,,,,Republican Party,,Actual-P Condition,Pass
R_AA5BV8Rq3CJE4fv,18-34,Non-Hispanic Black,Graduate Degree,$0 - $50K,Male,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,75,76,100,100,100,100,100,100,65,81,48,82,1,100,Republican Party,,Ingroup-P Condition,Pass
R_1jcAnREmrkmGtFG,35-54,Hispanic,HS Diploma/GED or Less,$0 - $50K,Female,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,11,69,100,100,100,100,100,100,100,79,100,83,75,100,Republican Party,No comments ,Ingroup-P Condition,Pass
R_1cXP9YBVV4XvFuc,35-54,Hispanic,HS Diploma/GED or Less,$0 - $50K,Female,,Democrat,,,,,,,,,,,,,,,,36,23,24,68,32,72,33,46,31,27,27,38,63,56,67,,,,,,,,,,,,,,,,Republican Party,No comments,Actual-P Condition,Pass
R_1Qt4ugiGwOP9azT,55+,Non-Hispanic Black,HS Diploma/GED or Less,$50K - $100K,Male,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,60,64,58,62,56,46,47,45,41,39,41,28,25,38,Republican Party,,Ingroup-P Condition,Pass
R_1rlF5zsD4QXFK9P,18-34,Non-Hispanic Black,College Degree,$0 - $50K,Female,,Democrat,64,64,64,82,81,96,70,66,67,38,42,35,40,40,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Democratic Party,,Meta-P Condition,Pass
R_27NKBYfTKK76MKt,55+,Non-Hispanic Black,HS Diploma/GED or Less,$50K - $100K,Female,,Democrat,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,80,100,100,100,100,100,,,,,,,,,,,,,,,,Republican Party,None ,Actual-P Condition,Pass
R_3GdNbnYC1t53e65,18-34,Non-Hispanic White,Graduate Degree,$100K - $200K,Female,,Democrat,34,74,60,67,37,32,73,72,30,75,43,26,31,55,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Democratic Party,excellent and interesting survey,Meta-P Condition,Pass
R_2fdR66z9Xpd1Ohu,35-54,Hispanic,HS Diploma/GED or Less,$0 - $50K,Male,,Democrat,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,,Republican Party,,Actual-P Condition,Pass
R_23UD2FC7HBxTLRg,18-34,Hispanic,College Degree,$50K - $100K,Female,,Republican,,,,,,,,,,,,,,,,87,87,77,82,76,83,18,16,15,19,16,16,74,83,71,,,,,,,,,,,,,,,,Democratic Party,,Actual-P Condition,Pass
R_1pyvUfQ08T0mPbU,35-54,Hispanic,Graduate Degree,$50K - $100K,Male,,Democrat,100,100,82,77,84,92,65,76,73,62,20,70,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Democratic Party,no comments,Meta-P Condition,Pass
R_1CC4tsLroRups4p,55+,Hispanic,Graduate Degree,$50K - $100K,Male,,Republican,,,,,,,,,,,,,,,,1,10,2,77,80,82,100,100,100,10,12,1,15,1,9,,,,,,,,,,,,,,,,Democratic Party,Great survey experience ,Actual-P Condition,Pass
R_1d0KP8vQ1wsboTU,55+,Non-Hispanic Black,Some College (No Degree),$0 - $50K,Male,,Democrat,100,98,98,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Democratic Party,no,Meta-P Condition,Pass
R_8eMm37fQem90NlT,35-54,Non-Hispanic Black,Graduate Degree,$50K - $100K,Male,,Democrat,85,89,83,86,65,30,96,72,22,100,28,33,88,25,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Democratic Party,Thanks again for your help with this matter and I will be there at the same time I don't have,Meta-P Condition,Pass
R_0MqFEkEPoZwSEU1,55+,Asian,Some College (No Degree),$0 - $50K,Female,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,61,51,41,1,1,1,62,31,61,50,50,49,Democratic Party,This was a quick survey; mainly of Democrats making proposals affecting the Republican Party. Thank you for letting me fill out your survey.,Ingroup-P Condition,Pass
R_2Vr0WTh0W6ih7BM,18-34,Hispanic,Graduate Degree,$50K - $100K,Female,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,85,93,79,100,16,29,80,78,18,88,74,74,82,82,Democratic Party,Nothing,Ingroup-P Condition,Pass
R_3JCUG6BAVGQIn97,55+,Non-Hispanic Black,Some College (No Degree),$50K - $100K,Female,,Democrat,,,,,,,,,,,,,,,,100,98,96,57,57,48,100,100,98,14,3,14,75,78,83,,,,,,,,,,,,,,,,Republican Party,Interesting survey. ,Actual-P Condition,Pass
R_8JvEgKivO1jOc2R,18-34,Hispanic,College Degree,$0 - $50K,Female,,Democrat,98,99,96,96,97,100,69,67,74,96,100,100,100,97,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Democratic Party,,Meta-P Condition,Pass
R_1gqFvsG5hs1iGmo,35-54,Non-Hispanic Black,College Degree,$100K - $200K,Male,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,62,80,79,82,81,100,100,99,64,65,73,87,86,66,Republican Party,,Ingroup-P Condition,Pass
R_333ZuRtRq3wRFSI,55+,Hispanic,College Degree,$50K - $100K,Male,,Democrat,62,73,72,81,91,80,92,82,91,80,82,83,91,91,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Democratic Party,"Was Fun and Interesting, Thank You",Meta-P Condition,Pass
R_3PnVaQxkPFm4up2,35-54,Hispanic,College Degree,$100K - $200K,Female,,Democrat,89,64,73,85,78,58,92,84,61,93,67,59,94,71,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Democratic Party,excellent i like,Meta-P Condition,Pass
R_3LgVKX5PYbT4j3j,55+,Hispanic,Some College (No Degree),$0 - $50K,Female,,Democrat,,,,,,,,,,,,,,,,50,34,1,50,50,49,100,100,100,50,50,50,50,50,49,,,,,,,,,,,,,,,,Republican Party,Nothing,Actual-P Condition,Pass
R_1NcqObxcAeGg1Nv,18-34,Hispanic,College Degree,$0 - $50K,Female,,Democrat,,,,,,,,,,,,,,,,82,87,96,13,16,25,27,38,26,1,1,1,86,91,90,,,,,,,,,,,,,,,,Republican Party,nope. quick and easy,Actual-P Condition,Pass
R_2ZWZdeekw6dO4Dk,18-34,Hispanic,Some College (No Degree),$0 - $50K,Female,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,87,83,80,Republican Party,,Ingroup-P Condition,Pass
R_2TESSBVt9Op1Sfw,55+,Hispanic,Some College (No Degree),$50K - $100K,Male,,Democrat,93,95,91,95,91,92,95,96,91,96,92,94,92,92,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Democratic Party,Very interesting questions,Meta-P Condition,Pass
R_2dDUdwTcP2vvXYp,35-54,Hispanic,Some College (No Degree),$50K - $100K,Female,,Democrat,74,70,71,100,92,100,66,1,30,82,100,87,77,88,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Democratic Party,No suggestions!,Meta-P Condition,Pass
R_3PUbTiBCak2gZ8u,35-54,Hispanic,Some College (No Degree),$50K - $100K,Female,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,90,82,84,100,100,91,1,1,1,36,70,68,Republican Party,,Ingroup-P Condition,Pass
R_3J2RJVJsKmQnsUV,55+,Hispanic,HS Diploma/GED or Less,$0 - $50K,Female,,Democrat,,,,,,,,,,,,,,,,99,90,88,3,4,28,99,99,90,1,33,31,31,43,32,,,,,,,,,,,,,,,,Republican Party,THANK YOU,Actual-P Condition,Pass
R_1g1S80iMzJ53Q7i,18-34,Hispanic,College Degree,$50K - $100K,Female,,Democrat,,,,,,,,,,,,,,,,66,74,71,1,2,3,1,1,1,54,1,1,18,50,4,,,,,,,,,,,,,,,,Republican Party,,Actual-P Condition,Pass
R_3DkkFKXAt57akJU,35-54,Hispanic,Some College (No Degree),$0 - $50K,Female,,Democrat,84,100,87,100,91,97,84,100,71,100,91,100,80,99,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Democratic Party,Democratic legislation neededs more opinions then what Republicans think ,Meta-P Condition,Pass
R_2afO02A5XlW60rp,35-54,Non-Hispanic Black,Some College (No Degree),$0 - $50K,Female,,Democrat,,,,,,,,,,,,,,,,14,25,28,78,1,1,62,37,30,18,5,22,10,40,10,,,,,,,,,,,,,,,,Republican Party,,Actual-P Condition,Pass
R_6yRc0OoJgVKtcVb,55+,Asian,Graduate Degree,$50K - $100K,Male,,Republican,,,,,,,,,,,,,,,,100,100,100,56,55,50,100,100,100,50,51,59,43,50,57,,,,,,,,,,,,,,,,Democratic Party,,Actual-P Condition,Pass
R_3nO82mxrYIuyAT1,35-54,Hispanic,Graduate Degree,$50K - $100K,Female,,Democrat,,,,,,,,,,,,,,,,86,89,81,80,79,77,96,98,95,19,40,37,74,75,80,,,,,,,,,,,,,,,,Republican Party,,Actual-P Condition,Pass
R_3lLELbgSXEleHTt,18-34,Non-Hispanic White,Some College (No Degree),$50K - $100K,Female,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,86,91,53,31,10,85,77,97,77,70,74,75,18,73,Democratic Party,No,Ingroup-P Condition,Pass
R_1DU6MSNLr0ZszUc,55+,Non-Hispanic Black,Some College (No Degree),$0 - $50K,Female,,Democrat,,,,,,,,,,,,,,,,17,6,1,1,15,8,22,27,19,10,17,18,4,17,10,,,,,,,,,,,,,,,,Republican Party,None,Actual-P Condition,Pass
R_1pGuVoQ3WP5ZqE6,18-34,Asian,Graduate Degree,$100K - $200K,Male,,Republican,86,72,78,,,,77,91,85,80,77,75,37,38,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Republican Party,very awesome and nice,Meta-P Condition,Pass
R_31L8XEM7bnwYzhd,35-54,"American Ind./Alaskan Native, or Other",HS Diploma/GED or Less,$0 - $50K,Male,,Democrat,33,27,31,23,22,1,98,99,95,86,76,80,33,48,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Democratic Party,Nothing but was interesting ,Meta-P Condition,Pass
R_2WA1WrQS4nc3rd6,55+,Hispanic,Some College (No Degree),$100K - $200K,Female,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,1,9,95,92,10,91,1,1,1,90,92,92,Republican Party,"Laws should benefit society equally, not benefit some above others.",Ingroup-P Condition,Pass
R_u4EAXG4bmxUChEZ,55+,Non-Hispanic White,Graduate Degree,$100K - $200K,Male,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,10,1,40,91,100,100,1,41,21,1,1,1,Democratic Party,,Ingroup-P Condition,Pass
R_Uu3tiXIWCsBemOd,18-34,Hispanic,HS Diploma/GED or Less,$50K - $100K,Male,,Republican,,,,,,,,,,,,,,,,83,79,68,38,31,34,85,100,79,1,31,1,66,71,73,,,,,,,,,,,,,,,,Democratic Party,,Actual-P Condition,Pass
R_1pM5wnILBmCnlep,35-54,Hispanic,HS Diploma/GED or Less,$0 - $50K,Male,,Democrat,71,64,26,67,62,27,60,12,74,26,67,63,29,20,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Democratic Party,Nothing,Meta-P Condition,Pass
R_1mQQk8wND85t4y9,18-34,Asian,Some College (No Degree),$100K - $200K,Female,,Democrat,,,,,,,,,,,,,,,,71,66,76,67,66,61,76,100,74,82,76,73,42,45,38,,,,,,,,,,,,,,,,Republican Party,,Actual-P Condition,Pass
R_2OVaoDYz9hrSQog,35-54,Hispanic,HS Diploma/GED or Less,$0 - $50K,Female,,Republican,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Republican Party,no,Meta-P Condition,Pass
R_3KZ58aU2kHpt5aZ,35-54,Hispanic,College Degree,$50K - $100K,Female,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,15,12,1,100,100,100,Republican Party,,Ingroup-P Condition,Pass
R_3Jrr5hcSoEFkulR,18-34,Non-Hispanic Black,Graduate Degree,$50K - $100K,Female,,Democrat,28,31,26,100,99,100,88,87,85,83,83,1,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Democratic Party,,Meta-P Condition,Pass
R_T5DBR4bZhDNPQWJ,35-54,Hispanic,College Degree,$50K - $100K,Male,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,92,98,81,71,82,82,76,80,15,12,1,1,1,1,Republican Party,no,Ingroup-P Condition,Pass
R_0SqoBS76ilweanT,18-34,Hispanic,HS Diploma/GED or Less,$0 - $50K,Female,,Democrat,26,21,9,10,20,16,18,24,31,87,37,78,10,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Democratic Party,Because I’m very concerned about the new president ,Meta-P Condition,Pass
R_2aXdFD1BPCnDmnh,18-34,Prefer not to say,Some College (No Degree),$50K - $100K,Female,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,22,26,89,92,86,39,23,65,2,32,5,32,37,33,Republican Party,,Ingroup-P Condition,Pass
R_UGFSskpLPFa1tSx,18-34,Hispanic,College Degree,$100K - $200K,Female,,Republican,,,,,,,,,,,,,,,,81,80,83,94,95,95,100,100,100,1,71,1,93,91,91,,,,,,,,,,,,,,,,Democratic Party,,Actual-P Condition,Pass
R_4TRUYhp1Q4QJmdb,18-34,Hispanic,College Degree,$0 - $50K,Female,,Democrat,,,,,,,,,,,,,,,,99,81,100,1,15,8,3,1,7,8,4,1,20,31,19,,,,,,,,,,,,,,,,Republican Party,No further comments,Actual-P Condition,Pass
R_1jHb9HfWo9ocgOt,18-34,Hispanic,Some College (No Degree),$50K - $100K,Female,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,78,90,83,72,91,78,80,86,29,40,59,82,81,91,Republican Party,,Ingroup-P Condition,Pass
R_QlvJz3T1UEN4SFH,35-54,Hispanic,College Degree,$0 - $50K,Male,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,82,77,93,88,86,24,29,20,26,27,28,27,25,28,Republican Party,no,Ingroup-P Condition,Pass
R_VR9nhK8Y7YEFOFP,18-34,Asian,Graduate Degree,$0 - $50K,Female,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,82,87,82,81,75,86,91,82,75,81,78,85,88,86,Republican Party,Thank you,Ingroup-P Condition,Pass
R_3M9vUx3S2rx5NCK,35-54,Non-Hispanic Black,College Degree,$0 - $50K,Female,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,91,79,93,100,96,18,73,20,1,13,18,79,100,100,Republican Party,,Ingroup-P Condition,Pass
R_1LTf5mzN1095M0l,18-34,Hispanic,College Degree,$0 - $50K,Female,,Democrat,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Democratic Party,No,Meta-P Condition,Pass
R_Rw9xEkxmVYY5NGp,35-54,Hispanic,HS Diploma/GED or Less,$50K - $100K,Female,,Democrat,100,100,100,100,100,100,100,100,100,98,97,95,100,100,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Democratic Party,"Interesting, thank you.",Meta-P Condition,Pass
R_21sykKwcU0vVclY,18-34,Hispanic,College Degree,$50K - $100K,Female,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,67,91,100,100,100,93,74,100,50,32,39,74,57,68,Republican Party,,Ingroup-P Condition,Pass
R_3saJuTI9mORP8RY,18-34,Non-Hispanic Black,Some College (No Degree),$100K - $200K,Female,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,24,29,82,73,79,73,76,71,12,22,13,73,68,64,Republican Party,,Ingroup-P Condition,Pass
R_2fqEm7TPXpGXsXx,35-54,Non-Hispanic Black,Some College (No Degree),$0 - $50K,Female,,Democrat,,,,,,,,,,,,,,,,100,80,72,100,100,100,100,100,100,100,100,64,55,100,63,,,,,,,,,,,,,,,,Republican Party,,Actual-P Condition,Pass
R_2D1aJl8woQsJnUw,35-54,Non-Hispanic Black,HS Diploma/GED or Less,$50K - $100K,Female,,Democrat,,,,,,,,,,,,,,,,57,31,63,4,24,16,86,22,77,1,21,1,25,27,16,,,,,,,,,,,,,,,,Republican Party,,Actual-P Condition,Pass
R_uhbQ3XuAjY86gvf,18-34,Non-Hispanic Black,Some College (No Degree),$50K - $100K,Male,,Republican,69,76,72,92,23,93,43,17,1,2,1,1,66,32,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Republican Party,thank you for letting me participate ,Meta-P Condition,Pass
R_1IRAp2iKyN9DwlP,18-34,Asian,Some College (No Degree),$0 - $50K,Female,,Democrat,35,35,36,89,96,82,65,75,73,100,100,100,32,25,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Democratic Party,,Meta-P Condition,Pass
R_2xVtJB5bdl9UkWk,18-34,Non-Hispanic Black,College Degree,$50K - $100K,Female,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,61,61,94,1,1,1,100,100,100,Republican Party,no,Ingroup-P Condition,Pass
R_3ssLDXmtmIOd9z6,18-34,Non-Hispanic Black,Some College (No Degree),$0 - $50K,Female,,Democrat,,,,,,,,,,,,,,,,82,86,92,94,83,83,82,84,89,77,80,85,33,42,33,,,,,,,,,,,,,,,,Republican Party,,Actual-P Condition,Pass
R_3rSY2YTa03Bh7h0,18-34,"American Ind./Alaskan Native, or Other",College Degree,$0 - $50K,Male,,Democrat,50,50,50,50,50,50,50,46,50,50,52,50,50,50,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Democratic Party,None,Meta-P Condition,Pass
